questionid,author,question,options,answer,concept
4260101,陳昱錡,雯雯是一位時空守護者，他的任務就是必須在各個時空穿梭，體驗不同時空的生活方式，並同時維護時空的和平。有一次雯雯穿越時空來到了古印度，他發現這裡的人都用右手抓取米飯食用，而且有非常嚴格的階級制度，雯雯非常不習慣這些文化，他花了好長一段時間才能夠順利在這個時空生活。請問，雯雯能夠順利在古印度生活是因為腦中的基模產生了何種變化？,"1.同化,    2.調適,    3.塑造,    4.削弱,    ",2,同化、調適
4260102,陳昱錡,雯雯是一位時空守護者，他的任務就是必須在各個時空穿梭，體驗不同時空的生活方式，並同時維護時空的和平。這一次雯雯的任務是要穿越到瑞士扮演皮亞傑先生的女兒。雯雯發現皮亞傑先生都會觀察他的一舉一動並寫在筆記本上，在好奇心的驅使之下，雯雯翻閱了皮亞傑的筆記本，筆記本上面寫著「我女兒昨天只會解加法問題與減法問題，不會解代數問題，今天突然就會了，原來學習真的是可以跳躍式發展。」看完筆記本後，雯雯知道他自己不小心打亂了原本的歷史了。請問，下列哪個概念最可能是被打亂的歷史？,"1.發展連續論,    2.基模理論,    3.認知發展階段論,    4.適應理論,    ",1,發展連續、認知發展階段
4260103,陳昱錡,雯雯是一位時空守護者，他的任務就是必須在各個時空穿梭，體驗不同時空的生活方式，並同時維護時空的和平。他的第一個任務就是要了解時空傳送器的使用方式。再經過一番折騰後，他終於學會使用時空傳送器了，雯雯甚至還說「現在的我就算閉著眼睛都能有一根腳趾操控時空傳送器！」，請問雯雯能得心應手的操控時空傳送器是因為何種概念的改變？,"1.刺激,    2.反應,    3.基模,    4.行為,    ",3,基模
4260104,陳昱錡,雯雯是一位時空守護者，他的任務就是必須在各個時空穿梭，體驗不同時空的生活方式，並同時維護時空的和平。某一天他穿越時空來到了一間神秘的寺廟，寺廟中的「波娟大師」正在苦惱如何教導他八歲的弟子暸解到武功中「空手入白刃」的招式，請問雯雯該給波娟大師什麼建議呢？,"1.播放空手入白刃的分解動畫,    2.口頭講解空手入白刃的步驟,    3.拆解空手入白刃的動作並實際示範,    4.遊玩空手奪白刃的電玩遊戲,    ",3,具體運思期
4260105,陳昱錡,雯雯是一位時空守護者，他的任務就是必須在各個時空穿梭，體驗不同時空的生活方式，並同時維護時空的和平。雯雯這一次他接到的任務是回到他自己小時候，觀察自己的行為，但是雯雯不小心在用腳趾操作時空傳送器時設定錯誤，導致他不知道自己被傳到哪個時空。但他發現，這個時空的自己正在玩七彩小火車，並且可以把小火車的順序打亂後，再依照紅橙黃綠藍靛紫的順序一一排序。請問雯雯最可能回到看見哪個時期的自己？,"1.感覺動作期,    2.前運思期,    3.具體運思期,    4.形式運思齊,    ",3,前運思期、具體運思期、序列化
4260201,陳昱錡,芸菲是一位習武之人，他長期跟著武林中的大師「波娟大師」學習「波波拳」這套拳法。最近，他發現波娟大師出拳時，總會因為過度用力導致左邊腹部出現空檔，使左邊腹部成為致命弱點。因此，芸菲在練拳時，總是會提醒自己出拳不要過度用力，以免造成自己露出破綻。請問芸菲在學習時總會提醒自己，可以用何種心理學理論解釋？,"1.近側發展區,    2.鷹架理論,    3.楷模學習,    4.替代學習,    ",4,替代學習、楷模學習
4260202,陳昱錡,波娟大師是一位擁有三千弟子的武學大師。波娟大師年輕的時候總是會在出拳的時候默念招式的動作。在出拳出錯的時候，也會喃喃自語自己錯誤的地方。請問波娟大師的學習方式是屬於何種概念的應用呢？,"1.近側發展區,    2.認知師徒制,    3.私自話語,    4.自我調整,    ",3,私自話語
4260203,陳昱錡,波娟大師是一位擁有三千弟子的武學大師，他研發了一種拳法「波波拳」。波娟大師會先訓練一批菁英弟子，然後再安排「這些菁英弟子去一對一教導其他弟子招式以及招式的使用原則」。請問「」部分是運用何種概念？,"1.鷹架理論,    2.認知師徒制,    3.私自話語,    4.自我調整,    ",2,認知師徒制
4260204,陳昱錡,波娟大師是一位擁有三千弟子的武學大師，他研發了一種拳法「波波拳」。其中一位弟子「芸菲」因為身體虛弱而被波娟大師禁學高階的波波拳拳法，但芸菲不死心，總是偷偷躲在角落觀察其他弟子練習高階波波拳拳法，並自己暗自模仿。請問芸菲的學習方式可以使用何種心理學概念解釋呢？,"1.楷模學習,    2.替代學習,    3.近側發展區,    4.鷹架理論,    ",1,楷模學習、替代學習
4260205,陳昱錡,波娟大師是一位擁有三千弟子的武學大師，他研發了一種拳法「波波拳」。其中一位弟子「芸菲」練習出拳時，總是會保留力道。波娟大師不斷的提醒芸菲出拳時要用盡全力，過度保留力道會導致內傷，但芸菲總是不聽勸告。請問芸菲最可能屬於班杜拉楷模學習階段中的哪個階段？,"1.注意,    2.保留,    3.再生,    4.動機,    ",3,注意、保留、再生、動機 
4260301,陳昱錡,茶湯會每次消費一杯飲料就可以累積一點，累積十點就可以兌換一杯25元的飲料。請問茶湯會的點數做法是運用了何種增強物？,"1.原級增強物,    2.次級增強物,    3.活動增強物,    4.代幣增強物,    ",4,原級增強物、次級增強物、活動增強物、代幣增強物
4260302,陳昱錡,有一位名叫「桑代克」的學者做了一個「謎籠」實驗，桑代克將一隻貓關在籠內，並將籠子上鎖。籠內有一個拉桿，只要貓咪碰觸拉桿，就可以打開籠子到籠外品嘗桑代克為貓咪準備好的飼料。一開始貓咪不斷的碰撞籠子想要出去，偶然間他發現只要碰觸拉桿就可以打開籠子。從此之後被關在籠中的貓咪只要肚子餓就會自己去碰觸拉桿走出籠子覓食。請問貓咪的表現可以用哪種行為主義概念解釋。,"1.古典制約,    2.操作制約,    3.普利馬原則,    4.活動增強物,    ",2,古典制約、操作制約
4260303,陳昱錡,杰倫老師去法國玩，買了「香榭的落葉」當成考試考滿分的獎品。「杰倫老師的學生每次只要小考考滿分，就可以得到一片香榭的落葉」。請問「」的部分屬於何種增強機制？,"1.固定比例,    2.不定比例,    3.固定時距,    4.不定時距,    ",1,固定比例、不定比例、固定時距、不定時距
4260304,陳昱錡,在企業培訓員工的過程中有一個重要的理論叫「棍子與胡蘿蔔」，這個理論剛好可以對應到行為主義的「增強」與「懲罰」。金總經理想要透過這個理論來訓練員工，請問如果金總經理想給予員工「胡蘿蔔」，哪一種方式最好呢？,"1.員工在新人訓練中表現良好，主管請新人喝咖啡,    2.員工在機械操作訓練時頻繁出錯，主管要求員工操作到完全正確才能下班,    3.員工無法順利操作簽呈傳遞系統，主管請員工利用下班再去上一次系統操作課程,    4.員工在廠區廢水處理的表現做得很好，因此政府頒布優良廠區獎章,    ",1,增強、懲罰、原級增強、次級增強、撤離型懲罰、正增強、呈現型懲罰
4260305,陳昱錡,小小鳥是一隻正在學習飛行的小鳥，他總是喜歡挑戰自己飛翔的極限，不停地挑戰長途飛行。鳥媽媽一再告誡小小鳥，他的這種行為太危險，不應該飛太遠。但小小鳥總是聽不進去鳥媽媽的話，所以鳥媽媽就決定將小小鳥禁足一個月。請問鳥媽媽希望透過何種理論來避免小小鳥一再做出危險行為？,"1.正增強,    2.負增強,    3.呈現型懲罰,    4.撤離型懲罰,    ",4,撤離型懲罰、呈現型懲罰
4260401,陳昱錡,「餓得話，每日熬一鷹」是八國聯軍八國「俄德法美日奧義英」的諧音，請問這是運用諧音幫助哪一種記憶的形成？,"1.語意記憶,    2.情節記憶,    3.閃光燈記憶,    4.程序性記憶,    ",1,語意記憶
4260402,陳昱錡,有句話叫做「日知其所無，月無忘其所能」。意思是每天都要知道自己學會了什麼，學得如何，並還要知道自己缺少什麼，要主動學習。請問一個人能做到「日知其所無，月無忘其所能」是哪一種概念的運用？,"1.後設認知,    2.自我效能,    3.感官收錄,    4.刺激反應,    ",1,後設認知
4260403,陳昱錡,格雷的五十道陰影電影中，男主角格雷只要看到皮鞭或藤條就會想起她小時候被繼母施暴的畫面，請問下列哪個選項可以用來解釋格雷的表現呢？,"1.格雷已經習慣被打，因此只要看到皮鞭或藤條，格雷就知道自己要被打了,    2.格雷經常被打，而繼母打他的畫面已經深深烙印在腦海中成為了情結記憶,    3.格雷經常被打，只要看到皮鞭或藤條就會刺激他的工作記憶想起被打的畫面,    4.格雷經常被打，繼母打他的畫面已經成了一種感官刺激,    ",2,情節記憶、感官記憶、感官收錄、工作記憶、長期記憶、古典制約
4260404,陳昱錡,王大陸在MAMA音樂盛會擔任特別來賓時，因為沒有將講稿背熟而說出「會給你們帶來各位，滿滿的大平台」這句讓人不明所以的句子。上述內容最有可能是因為所背的稿子內容無法進入哪個階段所造成？,"1.感官收錄,    2.工作記憶,    3.短期記憶,    4.長期記憶,    ",4,工作記憶、短期記憶、長期記憶
4260405,陳昱錡,霍元甲已經是所向披靡的武術大師，他回想過去成長的經驗，他發現他今天武術高超都是因為他的基本功很紮實，所以讓他在學習進階武術的時候更加得心應手。請問可以用哪個概念解釋霍元甲的學習歷程呢？,"1.順設助長,    2.順設抑制,    3.倒攝助長,    4.倒攝抑制,    ",1,順設助長、順設抑制、倒攝助長、倒攝抑制 
6300101,陳奕儒,皮亞傑的認知發展論認為，人們的思考從何時開始具有可逆性？,"1.前運思階段(preoperationl stage),    2.具體運思階段(concrete operational stage),    3.形式運思階段(formal operational stage),    4.問題發現(problem finding)階段,    ",2,具體運思期
6300102,陳奕儒,根據皮亞傑的看法，人們從出生到成年期，會經歷四個認知發展階段。以下人物所對應的階段分期及相關敘述，何者完全正確？,"1.1歲的凱凱開始會在心中使用符號來表現事物並思考。他已經瞭解的是，當物體看不見時，它們仍舊可能是存在著的。,    2.4歲的莉莉看著媽媽將牛奶從瓶子倒入碗中，思考只專注於容器中牛奶的高度，深信牛奶變少了。這是由於她缺乏了物體恆存的概念。,    3.9歲的小潔思考具有自我中心的特徵，認為別人看見的世界與自己所看見的相同，因此他還未能客觀思考他人感受。,    4.皮亞傑認為，認知發展與他人的影響具有密切相關。個體將從與他人和環境進行互動的過程中，漸漸將學習內化並自我調整，以幫助思考及解決問題。,    ",4,感覺動作期、符號表徵、專注現象、前運思期、自我中心
6300103,陳奕儒,雖然皮亞傑的認知發展理論是了解兒童發展的必要基礎，但也有不少批判的聲音，認為其理論有著許多不臻完美之處。以下何者並非新皮亞傑學派所認為的應修正之處？,"1.過於強調兒童必須經歷廣泛、固定的發展,    2.高估了兒童的能力,    3.忽略了社會文化對兒童認知發展所造成的影響性,    4.沒有考慮到不同的作業性質、訓練及經驗等，可能也會影響兒童的認知發展,    ",2,發展連續論
6300104,陳奕儒,以下關於基模的敘述，何者錯誤？,"1.在基模理論(schema theory)中最重要的原則是：可合適納入現存基模的訊息，比那些無法納入的訊息更容易讓人理解、學習、和保留,    2.心智尚處於成長階段的嬰兒，還不懂得使用基模來處理接觸到的事物，因此對於感官所接收到的各種刺激，往往容易因缺乏注意而導致忽略,    3.同化(assimilation)是指依據現有基模來了解新客體或事件的歷程；而調適(accommodation)則是指當個體無法順利處理外在訊息時，選擇修正自身現有基模的另一種學習方式,    4.當「所知的」及「所遭遇的」兩者之間產生衝突時，我們自然會去注意此失衡狀態，並發展出新基模或改變舊基模來使現有理解與新經驗恢復平衡，此過程稱為平衡化(equilibration),    ",4,基模、同化、調適
6300105,陳奕儒,"認知發展位於具體運思階段的兒童，何者行為表現是他會具有的？
","1.思考開始有了守恆的概念,    2.已可正確解決「A比B矮且A比C高，則三人中誰最高」此類型的問題,    3.還尚未能理解「A>B且B>C，則A>C」此種遞移關係,    4.開始能獨自處理可能性及假設性的狀況和問題,    ",2,具體運思期、序列化
6300201,陳奕儒,小藍想要應用課堂所學來教她弟弟做餅乾。原本不懂得如何調製材料的小傑，若在經過姐姐教導及引導後，終究還是無法獨立完成整個過程，探討其可能的原因，何者為非？,"1.有可能他目前的認知發展階段還並未發展出某些相對能力，來處理過程中面臨到的某些問題,    2.既有基模可能無法順利調適而產生混亂，導致他納入舊有基模產生困難，且無法創建新基模,    3.有可能某些行為技能已經超越了他近側發展區所能達到的範圍之外，因此無法為其構築鷹架,    4.在觀察階段，線索若不夠具有吸引力，可能導致學習者的動機不足，而沒有成功獲得其注意,    ",2,基模、認知階段論、近側發展區、注意
