questionid,author,question,options,answer,concept
98140101,陳映妤劉怡秀,有一天媽媽在講床邊故事時，指著一隻小黃狗跟小新說:這隻就是狗哦!從此小心走在路上看到小黑狗也會喊著牠為狗。請問上述是指哪一種心理歷程?,"1.調適,    2.同化,    3.組織,    4.平衡,    ",2,同化、調適
98140102,陳映妤劉怡秀,對於建構主義的敘述何者正確?,"1.認知結構的改變是主動的,    2.需要藉由教學者的幫助,    3.強調學習的重要,    4.可藉由他人的敘述來學習,    ",2,
98140103,陳映妤劉怡秀,在學習新知識時，若學習者既有的基模能順利同化新知，則他在心理上會感到「平衡」的這個概念是誰提出的？,"1.皮亞傑,    2.維果茨基,    3.蓋聶,    4.班度拉,    ",1,適應
98140104,陳映妤劉怡秀,教師協助學習者在學得實際能力之上去發展他的潛在能力，此種教學模式是與何概念有關？,"1.最近發展區,    2.最遠發展區,    3.外鑠歷程,    4.內鑠歷程,    ",1,近側發展區
98140105,陳映妤劉怡秀,相較於皮亞傑的認知發展論，維果斯基則強調何種因素對兒童認知發展的影響？,"1.社會文化,    2.階段性,    3.家庭教育,    4.學習技巧,    ",1,
98140106,陳映妤劉怡秀,下列對於基模的敘述何者錯誤?,"1.基模是指當人遇到某一事物時，就用他的認知結構去核對、去處理。,    2.基模將因經驗增多而漸趨簡單，變為心理性的行為模式,    3.基模會隨著個體的年齡生長而進行改變,    4.原始性的基模多屬於感覺動作式的,    ",2,基模
98140107,陳映妤劉怡秀,媽媽分別在高腳杯和紙杯中各倒入的100cc的果汁，小葵認為高腳杯中的果汁是比較多的，所以吵著要拿高腳杯的，但小新覺得兩杯的容量都是一樣的。請問小新和小葵可能分別處在什麼樣的認知發展階段?,"1.小新:感覺運動期，小葵:前運思期,    2.小新:前運思期，小葵:具體運思期,    3.小新:形式運思期，小葵:具體運思期,    4.小新:具體運思期，小葵:前運思期,    ",4,專注現象、前運思期、具體運思期
98140108,陳映妤劉怡秀,下列對於皮亞傑的認知發展階段論敘述何者正確?,"1.感覺動作期能使用語言表達自己所看見的,    2.前運思期的思維不符合邏輯，不能見及事物的全面,    3.具體運思期能夠理解大多抽象的人事物所代表的涵義,    4.形式運思期無法理解守恆的道理,    ",2,感覺動作期、前運思期、具體運思期、形式運思期
98140109,陳映妤劉怡秀,前運思期的孩童有何種下列敘述中提到的特徵?,"1.相信自己所看到的就是全部,    2.能夠理解A+B=C，所以B=C-A的道理,    3.面對問題時，能夠從抽象的邏輯思維去想解決的辦法,    4.剛能體悟到物體永恆的概念,    ",1,自我中心、可逆性、抽象思考、前運思期
98140110,陳映妤劉怡秀,下列有關認知發展理論的敘述何者正確？,"1.皮亞傑認為：人類的道德發展順序是由他律進入自律,    2.維果斯基認為：人類的道德發展順序是由他律進入自律,    3.皮亞傑認為：情意教育是協助孩子發展最需重視的,    4.維果斯基認為：應讓孩子順其自然發展，不需給予社會性的干預,    ",,與主題不符
98140201,陳映妤劉怡秀,下列對「最近發展區」(zone of proximal development)的敘述，何者是錯誤的？,"1.是兒童潛能所能發展的區域,    2.可以藉由成人的學習得到發展,    3.是介於自己實力所能達到的水平與成人協助後可能達到水平之間,    4.可經由能力測驗來預知可能的範圍 ,    ",4,近側發展區
98140202,陳映妤劉怡秀,根據班杜拉的社會學習理論，學生自律行為的培養沒經過哪個階段？,"1.自我觀察,    2.自我懷疑,    3.自我評價,    4.自我強化,    ",2,自律階段、自我觀察、自我評價、自我強化  
98140203,陳映妤劉怡秀,下列何者不是鷹架學習理論的目的?,"1.使學習者增加自己的智力,    2.使學習者能養成自主解決問題的能力,    3.使教學者能了解如何鞭策學習者達到教學目的,    4.增進學習者能與同儕互動,    ",1,鷹架
98140204,陳映妤劉怡秀,小花愛去夜店就算媽媽多次勸說她也堅持要去，所以媽媽只好罰她禁足、讓她乖乖待在家。而媽媽此種行為是採取何種方式？,"1.正增強,    2.負增強,    3.撤離型懲罰,    4.呈現型懲罰,    ",3,撤離型懲罰、呈現型懲罰
98140205,陳映妤劉怡秀,小毛看爸爸口渴時都會去飲水機裝水來喝，因此他口渴時也學爸爸去引水機裝水來喝。此階段屬於觀察學習內的哪階段？,"1.注意階段,    2.保持階段,    3.再生階段,    4.動機階段,    ",0,沒有複雜的模仿行為
98140206,陳映妤劉怡秀,嬰兒學習使用筷子吃飯與學習用筆寫字，此種學習模式為何種模仿學習？,"1.直接模仿,    2.綜合模仿,    3.象徵模仿,    4.抽象模仿,    ",1,直接模仿
98140207,陳映妤劉怡秀,下列對於鷹架理論的敘述何者正確?,"1.源自於皮亞傑的學習理論,    2.近側發展區= 實際發展水準 - 潛在發展水準 ,    3.教學的互動過程中，教師扮演單純的觀察者角色,    4.搭建鷹架就是由「協助表現」進入「獨立表現」 ,    ",0,題目語意需要再強化
98140208,陳映妤劉怡秀,"班杜拉的社會學習理論為互動學習論之代表，強調在社會情境中個體的學習是經由下列何種過程產生的？
","1.刺激與反應的連結,    2.內在心智架構與知識獲得的改變,    3.觀察學習和模仿的連結,    4.將訊息類化進而吸收,    ",3,觀察學習
98140209,陳映妤劉怡秀,下列何者敘述指的不是社會學習理論?,"1.強調學習者自主探索,    2.學習係指個體在刺激情境中，所自發性產生的多個反應之間,    3.強調學習可來自觀察與模仿,    4.教學者會依據學習者的學習行為給予正強化或負強化,    ",2,觀察學習
98140210,陳映妤劉怡秀,小葵看到小新因為玩蠟燭所以被媽媽打，因此得知如果她玩蠟燭的話她也會被媽媽打，請問小葵這種從別人的經驗而學習到新經驗的學習模式為何？,"1.替代學習,    2.楷模學習,    3.模仿學習,    4.直接學習,    ",1,替代學習
98140301,陳映妤劉怡秀,請問「一朝被蛇咬，十年怕草繩」，屬於哪一種古典制約的學習現象？ ,"1.消弱現象,    2.自然恢復,    3.制約刺激的分化 ,    4.制約刺激與制約反應的類化,    ",4,古典制約
98140302,陳映妤劉怡秀,何者非觀察學習中的模仿方式？,"1.直接模仿,    2.綜合模仿,    3.具象模仿,    4.象徵模仿,    ",3,觀察學習
