questionid,author,question,options,answer,concept
14770101,陳路佳黃靖容,美美是8歲的小朋友，她很喜歡玩積木，常常將積木按照大小、顏色和形狀進行排列，請問美美具備哪項能力?,"1.克服自我中心,    2.守恆,    3.連續性,    4.可逆性,    ",0,序列化
14770102,陳路佳黃靖容,關於皮亞傑的認知發展理論，下列敘述何者有誤?,"1.2到7歲的小朋友具有加減運算的能力,    2.阿翔無法理解水是如何變成冰塊，是因為他還未到達具體運思階段,    3.小寶寶對於任何事物都感到好奇，會用手掌抓握各種東西，是屬於感覺動作期,    4.小英現在4歲，能夠清楚表達自己的能力，但只能思考以自我為中心的觀點,    ",1,自我中心、感覺動作期、前運思期、具體運思期
14770103,陳路佳黃靖容,爸爸給阿拉蕾和姐姐熱睡前牛奶，拿了兩盒一模一樣的福樂牛奶去加熱。之後分別倒入了兩個形狀的玻璃杯，阿拉蕾的杯子口徑比較大，顯得比較低。她就開始哭鬧認為爸爸偏心，而姐姐覺得沒有任何問題。已知：姐姐只比阿拉蕾大一歲，請問兩人分別屬於皮亞傑認知發展論中的哪個階段？,"1.姐姐：前運思期，阿拉蕾：感覺運動期,    2.姐姐：形式運思期，阿拉蕾：具體運思期,    3.姐姐：形式運思期，阿拉蕾：前運思期,    4.姐姐：具體運思期，阿拉蕾：前運思期,    ",4,專注現象、前運思期、具體運思期
14770104,陳路佳黃靖容,小潘很喜歡收集汽車玩具模型，有一次他收了一個新的模型，不知道叫什麼，於是問媽媽，媽媽說叫卡車，小潘就知道了這個叫卡車（a）。這之後，他碰到類似的模型時，都知道它們叫卡車了（b）。以上兩種小潘的行為可以用哪種行為模式解釋呢？,"1.a 同化 b 調適,    2.a 同化 b 基模,    3.a 基模 b 調適,    4.a 基模 b 同化,    ",4,基模、同化、調適
14770105,陳路佳黃靖容,爸爸在家裡教阿拉蕾數學，7+2=9，阿拉蕾學會了。爸爸問，那9-2=多少呢？阿拉蕾想不出來。爸爸覺得自己太心急。阿拉蕾的行為可以用何種原理能最好地解釋呢？,"1.守恆概念,    2.可逆性,    3.邏輯思考,    4.抽象思考,    ",2,可逆
14770106,陳路佳黃靖容,小糯米今年五歲啦，從幼稚園放學後學會了很多，請問以下哪一項是小糯米最可能做到的呢？,"1.可以緩慢進行邏輯思考,    2.學習9+2=11後，能推出11-2=9,    3.用簡單的詞彙表達某個概念,    4.有基本的假設-演繹的能力,    ",3,前運思期、不可逆、符號表徵
14770107,陳路佳黃靖容,"小智不清楚皮亞傑認知發展理論的4階段，詢問小霞後才知道答案，請問哪個是小霞的回答？
","1.前運思期→形式運思期→感覺動作期 →具體運思期,    2.感覺動作期→前運思期→具體運思期→形式運思期,    3.形式運思期→感覺動作期→具體運思期→前運思期,    4.感覺動作期→具體運思期→前運思期→形式運思期,    ",2,發展階段論
14770108,陳路佳黃靖容,媽媽帶晶晶到花蓮海洋公園玩，晶晶看到各式各樣的水中生物，非常興奮，當她看到海豚秀時，告訴媽媽:「海豚這種魚類好聰明。」媽媽糾正她海豚不是魚類是哺乳類，晶晶才知道不是所有的水中生活的生物都是魚類。請問晶晶經過了何種學習歷程?,"1.同化,    2.調適,    3.平衡,    4.失衡,    ",2,同化、調適
14770109,陳路佳黃靖容,小明陪媽媽去逛文具店，發現有許多顏色的筆和紙，媽媽買了七支紅筆和十支藍筆，媽媽問小明紅筆多還是藍筆多，小明立刻回答是藍筆多，但媽媽又問小明紅筆多還是筆多，小明卻答不出來，請問下列關於小明的敘述何者正確?,"1.小明正處於具體運思期,    2.小明受到去中心化的影響而答不出來,    3.因為小明尚未具備類包含的能力,    4.由此可知，小明現在的年齡是八歲,    ",3,前運思期、類包含
14770110,陳路佳黃靖容,小嬰兒具有聽覺、視覺、觸覺及抓取的能力，像是他聽到周圍有玩具的鈴聲，就會用聽覺和視覺找到玩具的位置，並用手抓取和觸碰玩具。以上運用多種感官及動作的配合，而達到目的的身心活動歷程，在皮亞傑的認知發展理論中稱之為何?,"1.組織,    2.適應,    3.基模,    4.內發歷程,    ",4,感覺動作期
