questionid,author,question,options,answer,concept
41910101,謝岱融邱妤甄,朝三暮四這個成語故事，是代表著猴子們處在什麼時期呢?,"1.前運思期,    2.具體運思期,    3.感覺動作期,    4.形式運思期,    ",1,前運思期
41910102,謝岱融邱妤甄,小美燙了新的髮型，準備去找小朋友玩，但小朋友看到小美卻崩潰大哭，覺得是陌生人，由上面敘述，我們可以猜測小美的年紀為?,"1.1歲,    2.6歲,    3.10歲,    4.4歲,    ",1,物體恆存、感覺動作期
41910103,謝岱融邱妤甄,以下哪句話不符合皮亞傑的理論,"1.藉由教育，兒童可以跳過不同階段的發展,    2.發展是有跡可循的,    3.環境會影響發展,    4.成長和改變是有一定的規則,    ",1,發展連續論
41910104,謝岱融邱妤甄,"小美可以按照東西大小做排列，是因為她處在哪個時期?
","1.感覺動作期,    2.前運思期,    3.具體運思期,    4.天生就會,    ",3,序列化、具體運思期
41910105,謝岱融邱妤甄,對於一個需要解決的難題，會想出一系列的步驟，再進行測試，最後找出解答，是因為已經過了哪一個時期,"1.感覺動作期,    2.前運思期,    3.具體運思期,    4.形式運思期,    ",4,問題解決、形式運思期
41910106,謝岱融邱妤甄,哪一個時期是可以做排列組合的題目的?,"1.感覺動作期,    2.前運思期,    3.具體運思期,    4.形式運思期,    ",4,邏輯推理、形式運思期
41910107,謝岱融邱妤甄,皮亞傑認為，如果兒童教師對於兒童在無法理解新知識，應該怎麼做?,"1.放任主義，時間到了自然就會,    2.一字一句的帶領兒童,    3.協助以新經驗來修整舊有的基模,    4.鼓勵兒童自己摸索發展,    ",0,34都可能是答案
41910108,謝岱融邱妤甄,專注單一現象為何種時期,"1.感覺動作期,    2.前運思期,    3.具體運思期,    4.形式運思期,    ",2,前運思期
41910109,謝岱融邱妤甄," 小明能算出1+3=4
卻無法算出4-1=3
是不可逆狀況
那請問是處在何種時期呢?","1.感覺動作期,    2.前運思期,    3.具體運思期,    4.形式運思期,    ",2,前運思期
41910110,謝岱融邱妤甄,我們在小朋友面前，把兩個一樣長度的尺上下平行的放，然後在他們面前把其中一個尺轉為垂直擺放，小朋友卻沒有辦法說出這兩個尺是一樣長的，是為什麼呢?,"1.自我中心狀態,    2.眼見為事實狀態,    3.不可逆狀態,    4.無法抽象思考狀態,    ",2,專注現象
41910201,謝岱融邱妤甄,下列關於鷹架理論，何者正確?,"1.是皮亞傑和維高斯基共同提出的,    2.鷹架的構築是為了提升學習者的能力,    3.拆除鷹架時，不需要考慮學生的學習程度,    4.老師無法透過建立鷹架來幫助學生學習,    ",2,鷹架構築、鷹架撤除
41910202,謝岱融邱妤甄,"小明看到姊姊因為考試考了100分，所以得到媽媽的零用錢，因此努力用功，想要得到媽媽的領用錢，請問小明的行為為下列哪一項?
","1.替代學習,    2.自我調整學習,    3.合作學習,    4.楷模學習,    ",4,楷模學習
41910203,謝岱融邱妤甄,老師在課堂上想要了解班上同學對於「近側發展區」的了解程度，並請同學回答問題，下列誰的說法是錯誤?,"1.小美:是維高斯基提出的,    2.小明:是學習者現在能力可以達到的程度和受到別人幫助能夠達到程度兩者中間的差距,    3.小華:受到別人幫助而能達到的能力才能算是近側發展區的理想程度；而自己努力達到的，不算理想程度,    4.小花:近側發展區又稱為ZPD,    ",3,近側發展區
41910204,謝岱融邱妤甄,關於鷹架理論下列敘述何者正確?,"1.是維高斯基所提出,    2.鷹架架設後，就不需要拆除,    3.鷹架的功能就是幫助學習者，跨越現實發展區，進而達到潛在的發展層次,    4.鷹架只可以由老師架設，同儕架設的鷹架對於學習無效,    ",0,超過一個答案
41910205,謝岱融邱妤甄,關於「觀察學習」可分為四個階段:注意、保留、再生、動機。下列關於各階段的敘述何者錯誤?,"1.注意:為第一個階段，是個體對環境的注意,    2.保留:引起注意後，應該示範希望學生模仿的行為，示範後要讓學生有練習機會,    3.再生:複製與楷模相同的行為,    4.動機:學生模仿楷模的動機是希望得到增強的機會,    ",1,注意、保留、再生、動機
41910206,謝岱融邱妤甄,小明看到電視上的超人，總是打敗壞人，取得社會正義，因此他希望成為一位勇敢、正義的人(A)。他發現在超人要起飛的時候，都會舉起右手，於是他想像他能飛的時候也舉起了右手(B)。請問(A)和(B)分別為何種模仿方式,"1.A:直接模仿 B:綜合模仿,    2.A:直接模仿 B:象徵模仿,    3.A:象徵模仿 B:直接模仿,    4.A:象徵模仿 B:抽象模仿,    ",3,直接模仿、綜合模仿、抽象模仿、象徵模仿
41910207,謝岱融邱妤甄,「教育心理學是一門很簡單的課程，在期末我一定能夠得到高分!」關於這句話，下列敘述何者正確?,"1.這個人透過自我調整學習，使得他教育心理學學得比較好!,    2.這個人以吳老師為楷模，因此教育心理學學得比較好,    3.這個人對於教育心理學的自我效能很高!,    4.這個人對於他自己學習心理學的後設認知很好!,    ",3,自我效能
41910208,謝岱融邱妤甄,小陳和朋友聊天時說到:「這次的考試，我對於社會學習理論已經很了解了，接下來只要在把認知學習理論弄懂就可以應付考試了!」關於這句話，小陳已經了解自己在考試時，哪部分了解，哪部分不熟悉，請問這是屬於下列哪一項概念?,"1.自我增強,    2.後設認知,    3.自我效能,    4.模仿學習,    ",2,後設認知
41910209,謝岱融邱妤甄,關於社會學習論，下列敘述何者錯誤?,"1.由心理學家 班杜拉 所提出,    2.強調在社會情境中個體的行為因受別人的影響而改變,    3.從別人的學習經驗即學到新經驗的學習方式，稱之為替代學習,    4.環境、個人、認知三項因素稱為社會學習論的三元取向,    ",4,替代學習、三元論
