questionid,author,question,options,answer,concept
180101,沈育莉,"媽媽買完菜回家後請花花幫忙整理買回來的東西，由下往上疊，由大到小，但是花花疊的亂七八糟。 
花花可能還沒到哪個時期?","1.感覺動作期,    2.前運思期,    3.具體運思期,    4.型式運思期,    ",3,具體運思期、序列化
180102,沈育莉,"草草國小時要上自然課，老師要他們抓蝌蚪觀察他們成長的過程，草草抓到蝌蚪後覺得蝌蚪身體很髒，想幫他們洗澡。於是，他根據以往幫自己洗澡的經驗，用沐浴乳幫蝌蚪洗澡，結果，蝌蚪全部死光光。草草才知道蝌蚪昰不能用沐浴乳洗澡的。 
請問，花花用沐浴乳幫蝌蚪洗澡的行為昰?知道蝌蚪不能用沐浴乳洗澡的改變昰?","1.同化，調適,    2.調適，同化,    3.平衡，同化,    4.調適，平衡,    ",1,同化、調適
180103,沈育莉,"老王有一個雙胞胎哥哥，有一天兩人同時回到家，老王的女兒先看到哥哥就跑上去喊爸爸，結果又看到老王也跑上去喊爸爸，同時看到兩個爸爸讓老王的女兒頓時感到很困惑。 
請問老王的女兒可能處於哪一個時期?","1.感覺動作期,    2.前運思期,    3.具體運思期,    4.形式運思期,    ",0,有太多因素會甘擾老王女兒的行為
180104,沈育莉,在馬來西亞習慣開車的米米，到了台灣反而覺得台灣開車很不習慣，因為在台灣駕駛是坐在左手邊開車的。請問米米需要做的是?,"1.同化,    2.調適,    3.平衡,    4.基模,    ",2,同化、調適
180105,沈育莉,大部分的小朋友並不知道水果奶奶昰男生，這是為什麼呢?,"1.前運思時期_自我中心,    2.前運思時期_專注單一,    3.具體運思時期_自我中心,    4.具體運思時期_物體恆存,    ",0,有太多因素會甘擾原因
180201,沈育莉,"期末的時候老師頒發最佳服務獎給小明，小美看到小明得獎覺得小明很厲害自己也想向他學習。
請問這屬於學習理論的哪一種概念?","1.鷹架學習,    2.楷模學習,    3.標準學習,    4.替代學習,    ",2,楷模學習
180202,沈育莉,請問需要靠他人的協助加上自己努力才可以達到的能力我們稱之為?,"1.鷹架,    2.近側發展區,    3.私自話語,    4.認知見習,    ",2,近側發展區
180203,沈育莉,"小吳是個自信滿滿的人，做每件事情她都覺得只要我去做沒甚麼不可能，就算失敗了，也只是我不夠努力罷了!
請問，自我調整學習中的哪一個重要觀念?","1.自我效能,    2.自我增強,    3.前設認知,    4.後設認知,    ",1,自我效能
180204,沈育莉,"玉錡是個學霸，每每上課回家後總是津津有味的複習著吳老師教過的課程，直到滾瓜爛熟、倒背如流才肯安然入睡。
請問，這是自我調整學習中哪一種重要的觀念?","1.自我效能,    2.自我增強,    3.前設認知,    4.後設認知,    ",4,後設認知
180205,沈育莉,老師上課的時候示範一遍加法的做法，上課時讓學生輪流上台練習並糾正，回家後出練習題給學生練習。請問，上述做法老師做到哪些步驟?,"1.注意、保留,    2.保留、再生,    3.再生、動機,    4.注意、動機,    ",2,注意、保留、再生、動機
180301,沈育莉,"我要先吃掉我不喜歡的食物，把好吃的留在最後再吃。
以上這句話是甚麼原則?","1.質事逺原則,    2.必達螺原則,    3.歐菲斯原則,    4.普力馬原則,    ",4,普力馬原則
180302,沈育莉,馬戲團的小象在很小的時候就被用繩子綁在木棍旁，任憑牠多想掙脫都離不開。長大後，即使他有能力掙脫了，牠卻也不再試圖掙脫。請問，這是運用古典制約裡面的哪些概念？,"1.非制約、中性刺激,    2.中性刺激、非制約反應,    3.中性刺激、制約刺激,    4.制約刺激、非制約,    ",0,題目語意需要再強化
180303,沈育莉,希望強化或是減少某項行為時我們會運用不同的方式達成目的，已下幾個例子請試著判斷其分別運用了甚麼方式。1.當小明動手打別人時，媽媽不給他吃晚餐2.當元太考試考一百分，他可以吃他最喜歡的鰻魚飯。3.當蠟筆小新幫忙照顧小葵，他可以不用整理玩具,"1.負增強、正增強、正增強,    2.呈現性懲罰、正增強、負增強,    3.撤離性懲罰、正增強、負增強,    4.呈現性懲罰、負增強、正增強,    ",3,撤離型懲罰、呈現型懲罰
180304,沈育莉,1.只要努力工作就可以得以溫飽  2.我考試拿100分我覺得我很棒 3.我只要考得好，我放假就可以出去玩 以上三種情形，請判斷各為哪種增強物,"1.社會增強物、次級增強物、外在增強物,    2.原級增強物、內在增強物、活動增強物,    3.原級增強物、外在增強物、社會增強物,    4.次級增強物、社會增強物、外在增強物,    ",2,原級增強物、次級增強物、內在增強物、活動增強物
180305,沈育莉,1.UUPON點數  2.不定期點名  3.期中期末考  4.超商集點   以上四種為大學生常見的生活小事，請試著判斷四種分別為增強物的哪種機制。,"1.固定比率，不固定時距、固定比率、固定時距,    2.不固定比率、不固定時距、固定時距、固定比率,    3.不固定時距、固定時距、固定比率、不固定時距,    4.不固定時距、不固定時距、固定時距、固定比率,    ",0,無正確答案
180401,沈育莉,知覺是指將感受到的訊息理解為原來知道的樣貌，請問知覺是介於IP Model中的哪兩個階段之間?,"1.訊息接收、感官收錄,    2.感官收錄、短期記憶,    3.短期記憶、工作記憶,    4.短期記憶、長期記憶,    ",1,IP Model
180402,沈育莉,"小莉的歷史老師常常用講故事的方式幫助大家記憶歷史事件,請問她使用的昰哪一種記憶法?","1.情節記憶法,    2.閃光燈記憶法,    3.故事記憶法,    4.語意記憶法,    ",1,情節記憶法、閃光燈記憶法
180403,沈育莉,我們最常利用來記憶電話號碼、家裡住址的方法通常是將其分成數個相關連的區段記憶，例如：02-1234-1223、0922-333-456。請問這樣的方是我們稱為?,"1.chancking,    2.chunking,    3.locking,    4.pocking,    ",2,chunking
